ID,course_code,subject,course_number,level,before_answer_number,after_answer_number,themes_limitations_1,themes_limitations_2,themes_limitations_3,themes_uses_1,themes_uses_2,themes_uses_3,limitations,uses
1,CHEM_3630/5630,CHEM,3630_5630,mixed,2,4,incomplete,,,Brainstorming and Topic Development,,,Information is limited to 2021 and before and it is limited in the information it can provide ,It is a good way to look for topics of interest and it can provide background information 
2,CHEM_3630/5630,CHEM,3630_5630,mixed,2,3,inconsistent, incoherent,,Brainstorming and Topic Development,,,Very inconsistent results and it sometimes straight up makes material up. That would be very unhelpful in the research process.,Generating starting points and ideas to build off of. Very good for getting a general idea and inspiration.
3,CHEM_3630/5630,CHEM,3630_5630,mixed,1,3,incoherent,,,Brainstorming and Topic Development,,,They can lie and create fake references.,"Gives an overview of a topic, allows you to learn the basics before you find other resources "
4,ENGM_2210,ENGM,2210,undergrad,1,1,incomplete,,,Brainstorming and Topic Development,Search Assistance,,ChatGPT is limited to having knowledge only prior to 2021. ,To get a general idea of a topic or to get a list of potential companies involved in a technology - something that you can follow up on with more credible resources
5,ENGM_2210,ENGM,2210,undergrad,1,3,indulgent,,,Writing Assistance,,,"Tools, such as ChatGBT will not let you know whether your idea is bad.",If you have all of your information already but don't know how to begin writing about it.
6,ENGM_2210,ENGM,2210,undergrad,5,5,inconsistent,,,"Simplification, Summary, and Synthesis",,,ChatGPT is a conversational chat bot that's job is just to produce answers. This means that it will put producing an answer over the accuracy of said answer.,Its very helpful when summarizing long or confusing documents
7,ENGM_2210,ENGM,2210,undergrad,1,2,citation issues,,,Brainstorming and Topic Development,,,Doesn't always use the most legitimate sources,As a starting point to gain ideas and information to delve into.
8,ENGM_2210,ENGM,2210,undergrad,1,4,,,,,,,,
9,ENGM_2210,ENGM,2210,undergrad,3,4,ethical concerns,,,Search Assistance,,,Information may be collected that is inaccurate and also there is a fine line between conducting background research with honesty and plagiarism.,AI is very good at understanding what exactly you are referring too within a field. It can often retrieve information much faster than a Google search. It can also 'remember' previous communication. 
10,ENGM_2210,ENGM,2210,undergrad,1,4,incomplete, illogical,,Search Assistance,Writing Assistance,,It has a limited scope and doesn't have human-like attributes.,It could help with small facts/features of certain topics.
11,ES_2210,ES,2210,undergrad,2,4,inconsistent, illogical,,Brainstorming and Topic Development,,,It isn't particularly useful for writing good quality and accurate technical writing. ,"I think GPT is useful in a similar way as wikipedia, providing a general overview of a topic or giving a starting point to conduct further research. It also could be useful to write outlines and notes."
12,ENGM_2210,ENGM,2210,undergrad,2,3,incomplete, incoherent,,Brainstorming and Topic Development,,,"Not up to date, non-technical answers, lack of specificity to what you're looking for, phantom sources and/or not identifying sources",Generating ideas & a broader sense of the topic
13,ENGM_2210,ENGM,2210,undergrad,3,4,incomplete, inconsistent,,Brainstorming and Topic Development,Search Assistance,,A potential of using Chat GPT is that it still isn't up to date with the most recent trends. Such as someone says that it really only has data for the years of 2020-2021. Still doesn't provide any precise data for the year 2022 or 2023. And since it is AI it can still make mistakes just like any other form of AI software.,"A useful way to using AI tools to conduct a background research is that it can discover key information about potential employers, including company values, work environment, and even potential growth. It can also help conducting background research on a company that can tell whether or not a company will do good in the near future.  "
14,ENGM_2210,ENGM,2210,undergrad,1,1,citation issues,,,"Simplification, Summary, and Synthesis",,,It does not know where the source of the information is coming from so it will not tell you whether it is reliable or not.,It can summarize a lot of information in a short manner so that you don't have to go through multiple websites.
15,ENGM_2210,ENGM,2210,undergrad,3,4,incomplete, citation issues,,"Simplification, Summary, and Synthesis",Search Assistance,,The information that AI provides is often a few years old and ChatGPT is usually not able to provide a reliable reference for where this information is coming from. ,Use it to synthesize information that you have collected in your own research or use it to inform new areas related to your topic for you to research.
16,CHEM_3630/5630,CHEM,3630_5630,mixed,3,4,imprecise,,,"Simplification, Summary, and Synthesis",,,Inaccuracy on specifics and details - it should be treated like an interactive Wikipedia,getting a quick summary or holistic viewpoint of something
17,BME_8901,BME,8901,grad,1,3,imprecise, citation issues,,Search Assistance,Caveat emptor,,"ChatGPT is just looking to complete sentences with what makes the most sense based on its training data. Thus, when we're doing background research on a narrow topic, ChatGPT could not be trusted as a reliable source (really, it could never be trusted as a source). Also, it doesn't give its sources.","It may be useful to reword ideas or explore new avenues of research, but you must ensure that there is a good amount of sources to back up a new research path."
18,BME_8901,BME,8901,grad,4,5,ethical concerns,,,Search Assistance,"Simplification, Summary, and Synthesis",,"Becoming too dependent on it. But then again that begs the question of what is ""too dependent"". I would say I am probably too dependent on a calculator to perform basic math functions, but that does necessarily mean that my relationship with technology is bad. I guess its complicated.","It is a great starting point for finding relevant literature. I 100% intend to use it in my research and in my classes as a tool for finding papers of interest. This is particularly because I am dyslexic, so reading and combing through dense texts for fine details can be particularly taxing for me. In this regard, ChatGPT and scite are really Godsends!"
19,BME_8901,BME,8901,grad,2,4,illogical, incomplete,,"Simplification, Summary, and Synthesis",Search Assistance,,They do not have an analytic mind. ChatGPT also only has access to papers from before September 2021 and cannot give you article titles.,"I think Scite can be very useful to help summarize papers or find general, interesting directions of research questions. I think ChatGPT can help with rewording ideas or transforming a research question into a language search engines without AI can understand."
20,BME_8901,BME,8901,grad,1,2,incomplete, citation issues,,"Simplification, Summary, and Synthesis",Caveat emptor,,Answers being untrustworthy and data not up to date so ultimately may not be as efficient as regular literature search. ,Summarizing main findings of papers could be helpful to get info not in the abstract when screening papers. Could potentially be a helpful lit review tool but I'm personally not inclined toward using AI in general
21,BME_8901,BME,8901,grad,5,5,incomplete,,,Search Assistance,,,Not up to date,Allows you to broadly search research
22,BME_8901,BME,8901,grad,3,4,illogical,,,"Simplification, Summary, and Synthesis",,,Inability to think - can't ask to solve problems,good to summarize information
23,BME_8901,BME,8901,grad,2,4,imprecise,,,"Simplification, Summary, and Synthesis",,,"Incorrect or misinterpreted information by the AI, especially more specialized inquiries",To get a brief overview of a topic
